ID	Category	Type	Name	Price	Available	Adults	Children	LargeLuggage	SmallLuggage	Image	Description
1	Car	Small	Economy Hyundai Getz (similar) Manual & Air	36.30 	yes	2	2	1	2	Economy_Hyundai_1.jpg	*4 Door Hatch *Manual *Dual Airbags *Air Conditioning *Power Steering *Radio CD Player *Engine 1.3 litre 4 cyl
2	Car	Small	Compact Mitsubishi Lancer (similar) Auto & Air	49.50 	yes	4	1	2	2	Compact_Mitsubishi_2.jpg	*4 Door Sedan *Auto *Air Cond *Airbag(s) *Power Steering *Radio *Cd Player *Central Locking *Engine 2 litre 4 cyl
3	Car	Medium	Toyota Camry or similar - Auto & Air	60.50 	yes	5	0	3	2	Toyota_Camry_3.jpg	*4 Door Sedan *Automatic *Air Cond *Power Steering *Airbag(s) *CD Player *Cruise Control plus *ABS Brakes and *Central Locking *Power Windows *Engine 2.4 litre 4 cyl
4	Car	Large	Mitsubishi Magna or similar - Auto & Air	64.90 	yes	5	0	3	2	Mitsubishi_Magna_4.jpg	*4 Door Sedan *Automatic *Air Cond *Power Steering *Airbag(s) *CD Player *Cruise Control plus *ABS Brakes and *Central Locking *Power Windows *Engine 3.5 litre V6
5	Car	Large	Mitsubishi Magna Wagon or similar - Auto & Air	75.90 	yes	5	0	5		Mitsubishi_Magna_5.jpg	*5 Door Wagon *Automatic *Air Cond *Power Steering *Airbag(s) *CD Player *Cruise Control plus *ABS Brakes and *Central Locking *Power Windows *Engine 3.5 litre V6
6	Car	4WD	Mitsubishi Challenger - Intermediate 4WD - Auto & Air	137.50 	yes	5	0	4	0	Mitsubishi_Challenger_6.jpg	*5 Door Wagon *Automatic *Air Cond *Engine 3.0 Litre
7	Car	4WD	Toyota Landcruiser - Full Size 4WD - Manual & Air	148.50 	yes	6	0	4	0	Toyota_Landcruiser_7.jpg	*5 door Luxury 4WD Wagon *5 Speed Manual *Diesel *Engine 4.0 Litre
8	Car	People Mover	Toyota Tarago or similar (Spacia - NT) - Auto & Air	97.90 	yes	8	0	1	2	Toyota_Tarago_8.jpg	*5 door People Mover *Auto *Airbag(s) *Dual Zone Air Cond *Power Steering *Power Windows *Radio *CD Player *Central Locking *Engine 2.4 litre 4 cyl
9	Commercial	Utes and Trays	1 Tonne Tray - Mitsubishi Triton (similar) Manual & Air	48.00 	yes	2	0	0	0	1_Tonne_9.jpg	*Single Cab Ute *2.4metre Tray *Drop Sides *Nominal Payload *1~Ton Capacity *Manual *Air Cond *Power Steering *Radio *Airtbag(s) *Engine 2.8 litre 4 cyl
10	Commercial	Utes and Trays	Dual Cab Ute - Toyota Hilux (similar) Manual & Air	84.00 	yes	4	0	0	0	Dual_Cab_10.jpg	*Dual Cab Ute *Well Sides *Manual *Air Cond *Power Steering *Radio *Airbag(s) *Engine 2.4 litre 4 cyl
